group,function,value,sample_time_nanos,iteration_count
lex,lex_small1,,942723.0,10822
lex,lex_small1,,1885250.0,21644
lex,lex_small1,,2899715.0,32466
lex,lex_small1,,3927320.0,43288
lex,lex_small1,,4982199.0,54110
lex,lex_small1,,6728245.0,64932
lex,lex_small1,,6994988.0,75754
lex,lex_small1,,8436119.0,86576
lex,lex_small1,,9259166.0,97398
lex,lex_small1,,10635349.0,108220
lex,lex_small1,,11265871.0,119042
lex,lex_small1,,12726553.0,129864
lex,lex_small1,,13321777.0,140686
lex,lex_small1,,13478478.0,151508
lex,lex_small1,,14122147.0,162330
lex,lex_small1,,15141021.0,173152
lex,lex_small1,,15995861.0,183974
lex,lex_small1,,17155382.0,194796
lex,lex_small1,,18739988.0,205618
lex,lex_small1,,19355009.0,216440
lex,lex_small1,,20752181.0,227262
lex,lex_small1,,20731999.0,238084
lex,lex_small1,,23332350.0,248906
lex,lex_small1,,25975013.0,259728
lex,lex_small1,,24381995.0,270550
lex,lex_small1,,24690414.0,281372
lex,lex_small1,,28062261.0,292194
lex,lex_small1,,29229535.0,303016
lex,lex_small1,,28318673.0,313838
lex,lex_small1,,28457784.0,324660
lex,lex_small1,,30602790.0,335482
lex,lex_small1,,34196480.0,346304
lex,lex_small1,,34157294.0,357126
lex,lex_small1,,34237310.0,367948
lex,lex_small1,,33990672.0,378770
lex,lex_small1,,34441288.0,389592
lex,lex_small1,,35868948.0,400414
lex,lex_small1,,36712098.0,411236
lex,lex_small1,,39360548.0,422058
lex,lex_small1,,38590268.0,432880
lex,lex_small1,,39518346.0,443702
lex,lex_small1,,41155264.0,454524
lex,lex_small1,,41412782.0,465346
lex,lex_small1,,42809959.0,476168
lex,lex_small1,,47668207.0,486990
lex,lex_small1,,44614255.0,497812
lex,lex_small1,,47703193.0,508634
lex,lex_small1,,46855923.0,519456
lex,lex_small1,,51115967.0,530278
lex,lex_small1,,50341037.0,541100
lex,lex_small1,,52813064.0,551922
lex,lex_small1,,53982032.0,562744
lex,lex_small1,,55908416.0,573566
lex,lex_small1,,55250061.0,584388
lex,lex_small1,,58740206.0,595210
lex,lex_small1,,57492513.0,606032
lex,lex_small1,,57755625.0,616854
lex,lex_small1,,58772232.0,627676
lex,lex_small1,,60455150.0,638498
lex,lex_small1,,59747218.0,649320
lex,lex_small1,,61432713.0,660142
lex,lex_small1,,63158595.0,670964
lex,lex_small1,,66495621.0,681786
lex,lex_small1,,68360991.0,692608
lex,lex_small1,,64888468.0,703430
lex,lex_small1,,68150614.0,714252
lex,lex_small1,,69039736.0,725074
lex,lex_small1,,68654509.0,735896
lex,lex_small1,,69653084.0,746718
lex,lex_small1,,69890133.0,757540
lex,lex_small1,,72247289.0,768362
lex,lex_small1,,73266955.0,779184
lex,lex_small1,,73286597.0,790006
lex,lex_small1,,73632013.0,800828
lex,lex_small1,,72595325.0,811650
lex,lex_small1,,73888724.0,822472
lex,lex_small1,,76928525.0,833294
lex,lex_small1,,79214369.0,844116
lex,lex_small1,,80440770.0,854938
lex,lex_small1,,79293485.0,865760
lex,lex_small1,,83190624.0,876582
lex,lex_small1,,81186993.0,887404
lex,lex_small1,,80913742.0,898226
lex,lex_small1,,84112904.0,909048
lex,lex_small1,,91306975.0,919870
lex,lex_small1,,84991166.0,930692
lex,lex_small1,,84588444.0,941514
lex,lex_small1,,84064287.0,952336
lex,lex_small1,,88367024.0,963158
lex,lex_small1,,89201458.0,973980
lex,lex_small1,,89886730.0,984802
lex,lex_small1,,89223712.0,995624
lex,lex_small1,,91839689.0,1006446
lex,lex_small1,,90381755.0,1017268
lex,lex_small1,,91343707.0,1028090
lex,lex_small1,,99865109.0,1038912
lex,lex_small1,,97389109.0,1049734
lex,lex_small1,,99589468.0,1060556
lex,lex_small1,,100439056.0,1071378
lex,lex_small1,,103560506.0,1082200
